"SAMPLE_ID","SUBTYPE","CDH1","CSMD1","DMD","DST","FAT3","FLG","GATA3","HMCN1","HUWE1","MAP3K1","MUC16","PIK3CA","RUNX1","RYR2","SPTA1","SYNE1","TP53","TTN","USH2A","ZFHX4"
"TCGA-BH-A28O-01",NA," 0.1958"," 0.8672","-0.9273","-0.4347"," 0.6923"," 0.8513"," 0.7505"," 0.2197","-0.8874"," 0.2839"," 0.0152","-1.7315"," 1.1290"," 0.0532","-0.8370","-0.5832"," 0.4855","-0.5445"," 1.5114","-0.2189"
"TCGA-BH-A28Q-01","BRCA_LumA","-1.2331","-2.3090","-6.2732","-2.6763"," 0.4063","-1.4169"," 1.6183"," 0.3214"," 0.7725"," 0.7517","-2.2905","-0.3509"," 2.3481","-1.1702","-0.8151","-1.7260"," 1.0710","-0.6934"," 1.4867","-0.3884"
"TCGA-BH-A2L8-01","BRCA_LumA","-0.0948","-2.1332","-4.5435","-4.1243","-1.4742","-2.2506"," 0.7232"," 0.1379","-1.4676"," 0.9631","-1.7526","-2.4692"," 0.7302","-1.8667","-0.3693","-1.9653"," 1.0670","-1.2156"," 1.0790","-0.9794"
"TCGA-BH-A42T-01",NA,"-0.3261","-2.0757","-7.1396","-5.4435","-1.3389","-2.1734"," 1.9538","-1.6136","-1.6660","-1.4625","-2.8660","-2.0020","-0.2773","-0.0290","-0.6347","-3.7227"," 0.4336","-0.5403"," 0.4763","-2.3693"
"TCGA-BH-A42U-01","BRCA_Normal"," 0.1308","-1.1055","-2.9588","-0.6612","-1.6089","-2.4856"," 0.9735","-1.5746","-3.0313","-1.1857","-0.3664","-3.6878"," 0.4282"," 0.1781","-1.1308","-2.0033"," 1.1239","-1.1587","-0.5725","-1.9601"
"TCGA-BH-A42V-01","BRCA_LumA"," 0.3521"," 0.8311","-3.1786","-2.0148","-0.5080","-0.3804"," 1.2479","-0.8090","-1.2390"," 1.1258","-1.3552","-2.1180"," 0.5014","-0.3826","-0.6230","-2.3246"," 0.3454","-0.8474"," 1.9146","-1.4955"
"TCGA-BH-A5IZ-01","BRCA_Basal"," 0.3561","-1.5225","-3.9052","-2.1946","-2.2312","-2.7069","-1.1367","-3.8035","-0.2716","-2.0387"," 2.6787","-0.8932"," 0.0577","-2.4315","-1.4400","-6.6650"," 0.9164","-2.3505","-1.6891","-4.3042"
"TCGA-BH-A5J0-01","BRCA_LumA"," 0.3522","-1.2934","-7.9552","-5.4478","-1.3463","-3.6377"," 1.3712","-1.6314","-2.1082","-0.5869","-2.8757","-3.3788","-0.0583","-1.3945","-0.5349","-3.7368","-0.1894","-2.1007","-1.9116","-2.0455"
"TCGA-BH-A6R8-01","BRCA_LumA","  0.8641"," -2.1544","-10.3162"," -5.6327"," -2.8375"," -3.3603","  1.4524"," -2.8619"," -0.2186","  0.4653"," -1.9972"," -3.1912"," -1.4398"," -2.5355"," -1.5273"," -3.7063"," -0.2691"," -1.5722","  0.4393"," -3.3289"
"TCGA-BH-A6R9-01","BRCA_Normal","-0.8774","-2.4028","-3.2371","-0.8322"," 1.5575"," 0.6055","-1.8500"," 1.8200","-1.6151","-1.7618","-2.3072","-1.4404"," 1.0195","-1.1771","-0.8960","-0.4475"," 0.7668","-0.7138","-1.1660"," 0.1112"
